epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.894,2.10901,4.27754,2.11142,0.0445,0.0365,0.01502,0.00393,2.87642,3.63806,2.9684,0.000665676,0.000665676,0.000665676
2,368.211,2.25008,3.51031,2.29911,0.1428,0.11679,0.04657,0.01455,2.53139,3.35031,2.46982,0.00127958,0.00127958,0.00127958
3,549.927,2.11906,3.35054,2.20872,0.24824,0.15328,0.1051,0.04542,2.33952,3.3096,2.47715,0.00184069,0.00184069,0.00184069
4,730.827,2.04379,3.25197,2.13498,0.29201,0.33577,0.18158,0.06387,2.10807,2.65177,2.18769,0.0017624,0.0017624,0.0017624
5,911.609,1.94079,3.0056,2.0305,0.32573,0.38686,0.29552,0.11189,2.06313,2.49254,2.01185,0.0016832,0.0016832,0.0016832
6,1092.41,1.87955,2.92908,1.98855,0.48415,0.37226,0.36016,0.15585,1.85615,2.37053,1.98186,0.001604,0.001604,0.001604
7,1273.28,1.82404,2.78611,1.94646,0.49693,0.42336,0.40509,0.19693,1.76337,2.24172,1.77949,0.0015248,0.0015248,0.0015248
8,1454.23,1.79018,2.68672,1.90597,0.75782,0.37226,0.47437,0.21536,1.82899,2.20615,1.86863,0.0014456,0.0014456,0.0014456
9,1635.06,1.76965,2.67854,1.87457,0.5812,0.46715,0.45079,0.20008,1.79343,2.27092,1.83321,0.0013664,0.0013664,0.0013664
10,1815.34,1.73812,2.55338,1.85661,0.81055,0.40602,0.51423,0.22721,1.84222,2.11217,1.82252,0.0012872,0.0012872,0.0012872
11,1996.45,1.69989,2.49157,1.8347,0.69371,0.44526,0.51365,0.22619,1.83797,2.03224,1.85775,0.001208,0.001208,0.001208
12,2177.91,1.69771,2.45848,1.82261,0.63399,0.49312,0.53424,0.23232,1.83352,1.95802,1.88776,0.0011288,0.0011288,0.0011288
13,2359.72,1.6521,2.35102,1.79206,0.64607,0.48905,0.51508,0.25772,1.68132,2.06988,1.74726,0.0010496,0.0010496,0.0010496
14,2541.38,1.63429,2.31531,1.77042,0.67096,0.46143,0.52705,0.26796,1.66246,1.98052,1.70459,0.0009704,0.0009704,0.0009704
15,2723.22,1.62126,2.25283,1.7575,0.76684,0.45615,0.57166,0.29741,1.69817,1.84661,1.73203,0.0008912,0.0008912,0.0008912
16,2904.93,1.68919,2.14875,1.83843,0.72036,0.52555,0.5923,0.32589,1.63755,1.79581,1.72719,0.000812,0.000812,0.000812
17,3085.78,1.65089,2.05952,1.81816,0.87511,0.52555,0.63023,0.33379,1.67618,1.72019,1.67659,0.0007328,0.0007328,0.0007328
